PB2	1	30266
PB2	2	30508
PB2	3	30639
PB2	4	31063
PB2	5	31193
PB2	6	31414
PB2	7	31549
PB2	8	31705
PB2	9	31796
PB2	10	31966
PB2	11	32120
PB2	12	32408
PB2	13	32450
PB2	14	32651
PB2	15	32748
PB2	16	32824
PB2	17	32833
PB2	18	32845
PB2	19	32992
PB2	20	33002
PB2	21	33131
PB2	22	33139
PB2	23	33150
PB2	24	33290
PB2	25	33360
PB2	26	33413
PB2	27	33424
PB2	28	33533
PB2	29	33552
PB2	30	33650
PB2	31	33739
PB2	32	33826
PB2	33	33952
PB2	34	34023
PB2	35	34134
PB2	36	34184
PB2	37	34255
PB2	38	34270
PB2	39	34338
PB2	40	34465
PB2	41	34518
PB2	42	34589
PB2	43	34741
PB2	44	34806
PB2	45	34884
PB2	46	34917
PB2	47	34926
PB2	48	35092
PB2	49	35214
PB2	50	35368
PB2	51	35450
PB2	52	35631
PB2	53	35660
PB2	54	35674
PB2	55	35680
PB2	56	35704
PB2	57	35991
PB2	58	36051
PB2	59	36069
PB2	60	36244
PB2	61	36245
PB2	62	36340
PB2	63	36436
PB2	64	36516
PB2	65	36600
PB2	66	36749
PB2	67	36765
PB2	68	36837
PB2	69	36864
PB2	70	37161
PB2	71	37296
PB2	72	37430
PB2	73	37613
PB2	74	37697
PB2	75	37774
PB2	76	37911
PB2	77	38003
PB2	78	38094
PB2	79	38292
PB2	80	38386
PB2	81	38669
PB2	82	38778
PB2	83	38840
PB2	84	39053
PB2	85	39080
PB2	86	39094
PB2	87	39299
PB2	88	39422
PB2	89	39484
PB2	90	39495
PB2	91	39654
PB2	92	39792
PB2	93	39868
PB2	94	39957
PB2	95	40030
PB2	96	40077
PB2	97	40035
PB2	98	40126
PB2	99	40211
PB2	100	40305
PB2	101	40310
PB2	102	40441
PB2	103	40574
PB2	104	40623
PB2	105	40644
PB2	106	40682
PB2	107	40207
PB2	108	39927
PB2	109	39776
PB2	110	39717
PB2	111	39626
PB2	112	39671
PB2	113	39843
PB2	114	39946
PB2	115	38824
PB2	116	38536
PB2	117	38182
PB2	118	37925
PB2	119	37872
PB2	120	37756
